#M	Z	i-127
1.200000e+01	6.000000e-03	7.210000e-10
1.500000e+01	6.000000e-03	2.132110e-09
2.000000e+01	6.000000e-03	1.833200e-09
2.500000e+01	6.000000e-03	5.738200e-09
