#M_sun	fe-54	fe-56	fe-57	fe-58
8	0	0	0	0
1.200000e+01	2.878708e-03	1.787976e-01	4.563592e-03	6.249000e-06
1.500000e+01	9.684444e-03	1.539258e-01	1.023826e-02	6.034390e-05
2.000000e+01	9.012003e-03	3.155861e-01	2.806323e-03	1.420740e-05
2.500000e+01	5.615000e-05	9.321000e-04	2.928200e-05	1.854200e-05
