#M	Z	co-59
1.200000e+01	6.000000e-03	2.387691e-03
1.500000e+01	6.000000e-03	1.432776e-03
2.000000e+01	6.000000e-03	5.127560e-04
2.500000e+01	6.000000e-03	1.320800e-05
