#M	Z	tm-169
1.200000e+01	6.000000e-03	9.043000e-11
1.500000e+01	6.000000e-03	1.288900e-10
2.000000e+01	6.000000e-03	1.640200e-10
2.500000e+01	6.000000e-03	1.720100e-10
