#M_sun	lu-175	lu-176
8	0	0
1.200000e+01	8.913000e-11	2.561400e-11
1.500000e+01	1.264400e-10	9.206100e-11
2.000000e+01	1.495500e-10	1.705010e-10
2.500000e+01	1.759900e-10	5.015000e-11
