#M	Z	bi-209
1.200000e+01	6.000000e-03	4.621300e-10
1.500000e+01	6.000000e-03	6.623700e-10
2.000000e+01	6.000000e-03	7.491600e-10
2.500000e+01	6.000000e-03	9.435000e-10
