#M	Z	o-16	o-17	o-18
1.200000e+01	6.000000e-03	1.874110e-01	1.522500e-05	4.869320e-04
1.500000e+01	6.000000e-03	8.605690e-01	1.690030e-05	5.664270e-04
2.000000e+01	6.000000e-03	1.442103e+00	1.699490e-05	2.737700e-05
2.500000e+01	6.000000e-03	8.903000e-01	1.159600e-05	4.125400e-05
