#M_sun	in-113	in-115
8	0	0
1.200000e+01	3.530200e-11	3.108600e-10
1.500000e+01	2.431390e-10	9.698000e-10
2.000000e+01	9.185560e-10	7.059200e-10
2.500000e+01	1.337204e-09	6.956600e-09
