#M_sun	sr-84	sr-86	sr-87	sr-88
8	0	0	0	0
1.200000e+01	3.160498e-08	6.717700e-08	1.094560e-08	2.283170e-07
1.500000e+01	1.099982e-06	8.549672e-06	1.646751e-06	1.668719e-05
2.000000e+01	4.481722e-07	1.032496e-06	1.302170e-07	9.846681e-06
2.500000e+01	2.171500e-10	1.496475e-06	1.054840e-06	8.196920e-06
