#M	Z	er-162	er-164	er-166	er-167	er-168	er-170
1.200000e+01	6.000000e-03	4.079300e-12	1.454800e-11	2.159600e-10	1.337900e-10	1.723100e-10	9.964000e-11
1.500000e+01	6.000000e-03	1.279971e-11	5.701600e-11	3.425000e-10	1.755200e-10	2.821900e-10	1.322700e-10
2.000000e+01	6.000000e-03	4.125130e-11	2.335510e-10	5.955400e-10	2.164800e-10	2.731800e-10	1.618400e-10
2.500000e+01	6.000000e-03	1.079100e-12	1.896800e-11	3.718000e-10	2.485500e-10	3.545500e-10	1.942800e-10
