#M	Z	mg-24	mg-25	mg-26
1.200000e+01	6.000000e-03	1.000290e-02	3.847330e-04	8.387090e-04
1.500000e+01	6.000000e-03	5.506523e-02	3.157877e-03	4.436813e-03
2.000000e+01	6.000000e-03	7.407980e-02	1.267799e-03	2.505915e-03
2.500000e+01	6.000000e-03	2.727580e-02	4.211300e-03	9.142500e-03
