#M_sun	sb-121	sb-123
8	0	0
1.200000e+01	3.280400e-10	2.493800e-10
1.500000e+01	2.220540e-09	1.221040e-09
2.000000e+01	8.715500e-10	4.026100e-10
2.500000e+01	7.290100e-09	2.880700e-09
