#M_sun	rb-85	rb-87
8	0	0
1.200000e+01	4.680610e-08	9.102770e-08
1.500000e+01	1.529280e-06	4.619159e-07
2.000000e+01	5.831950e-07	1.733564e-06
2.500000e+01	9.519530e-07	3.842790e-07
