#M	Z	te-120	te-122	te-123	te-124	te-125	te-126	te-128	te-130
1.200000e+01	6.000000e-03	2.215800e-11	3.610100e-10	9.727000e-11	4.516800e-10	6.291500e-10	1.841400e-09	2.841700e-09	3.108700e-09
1.500000e+01	6.000000e-03	3.378861e-10	2.942810e-09	5.013400e-10	2.430630e-09	1.935210e-09	9.493600e-09	8.579300e-09	4.355400e-09
2.000000e+01	6.000000e-03	2.819597e-09	2.199131e-08	1.814390e-09	2.789250e-09	1.624300e-09	3.506100e-09	6.972900e-09	5.025700e-09
2.500000e+01	6.000000e-03	1.094000e-11	6.469900e-09	2.118800e-09	1.278970e-08	5.721800e-09	3.130910e-08	7.226000e-09	7.193000e-09
