#M_sun	s-32	s-33	s-34	s-36
8	0	0	0	0
1.200000e+01	6.075537e-02	3.119470e-04	1.393535e-03	2.531743e-06
1.500000e+01	6.717871e-02	4.927168e-04	2.912939e-03	7.550469e-06
2.000000e+01	1.934059e-01	1.812719e-03	9.700371e-03	1.573304e-05
2.500000e+01	1.071500e-02	1.950479e-04	1.512066e-03	3.301893e-05
