#M_sun	ne-20	ne-21	ne-22
8	0	0	0
1.200000e+01	7.864900e-03	2.872974e-04	1.803180e-03
1.500000e+01	1.509779e-01	3.421181e-04	6.033236e-03
2.000000e+01	1.347610e-02	7.349480e-05	6.657350e-03
2.500000e+01	2.200090e-01	3.338450e-04	6.327470e-03
