#M_sun	h-1	h-2
8	0	0
1.200000e+01	4.689800e+00	7.560000e-06
1.500000e+01	5.900900e+00	5.042000e-06
2.000000e+01	7.050000e+00	9.170000e-07
2.500000e+01	6.263000e+00	0.000000e+00
