#M	Z	c-12	c-13
1.200000e+01	6.000000e-03	1.012956e-01	1.504500e-04
1.500000e+01	6.000000e-03	1.652106e-01	2.049500e-04
2.000000e+01	6.000000e-03	1.471425e-01	1.985400e-04
2.500000e+01	6.000000e-03	2.204650e-01	1.845500e-04
