#M	Z	ru-96	ru-98	ru-99	ru-100	ru-101	ru-102	ru-104
1.200000e+01	6.000000e-03	4.366300e-10	2.624950e-10	4.394700e-10	7.542100e-10	5.482700e-10	1.133800e-09	7.708700e-10
1.500000e+01	6.000000e-03	2.919580e-09	3.397348e-09	2.270020e-09	9.659120e-09	2.805820e-09	1.463068e-08	1.348023e-08
2.000000e+01	6.000000e-03	1.014479e-08	2.225132e-08	1.987140e-09	5.917029e-08	3.977340e-09	3.963500e-09	2.166220e-09
2.500000e+01	6.000000e-03	1.976400e-10	6.982000e-11	1.531870e-08	2.917920e-08	1.089270e-08	6.055810e-08	2.501210e-08
