#M_sun	ti-46	ti-47	ti-48	ti-49	ti-50
8	0	0	0	0	0
1.200000e+01	1.010495e-05	1.245930e-06	5.294837e-04	1.958251e-05	1.714900e-07
1.500000e+01	7.907860e-06	7.756290e-06	5.547985e-04	2.295733e-05	1.862610e-06
2.000000e+01	4.817215e-05	4.282434e-05	1.064537e-03	8.213054e-05	4.250700e-07
2.500000e+01	4.442500e-07	8.417000e-07	3.952000e-06	5.876900e-07	1.308370e-06
