#M	Z	tl-203	tl-205
1.200000e+01	6.000000e-03	2.038400e-10	4.141300e-10
1.500000e+01	6.000000e-03	3.458200e-10	6.185300e-10
2.000000e+01	6.000000e-03	3.301400e-10	6.930900e-10
2.500000e+01	6.000000e-03	5.070400e-10	8.344000e-10
