#M	Z	nb-93
1.200000e+01	6.000000e-03	1.652700e-09
1.500000e+01	6.000000e-03	1.397934e-07
2.000000e+01	6.000000e-03	1.278620e-08
2.500000e+01	6.000000e-03	3.044041e-07
