#M	Z	mo-92	mo-94	mo-95	mo-96	mo-97	mo-98	mo-100
1.200000e+01	6.000000e-03	1.485530e-09	5.038300e-10	1.080050e-09	7.473700e-10	5.808200e-10	1.155000e-09	4.850200e-10
1.500000e+01	6.000000e-03	2.033943e-06	4.111381e-08	3.440704e-08	8.827350e-09	4.231410e-09	2.466154e-08	3.089890e-09
2.000000e+01	6.000000e-03	3.986274e-08	5.412443e-08	6.067310e-09	4.588770e-08	3.966740e-09	3.449800e-09	1.143410e-09
2.500000e+01	6.000000e-03	6.924000e-10	1.820700e-09	3.272072e-07	6.754010e-08	4.089060e-08	1.056421e-07	8.775500e-09
