#M	Z	xe-124	xe-126	xe-128	xe-129	xe-130	xe-131	xe-132	xe-134	xe-136
1.200000e+01	6.000000e-03	1.039880e-10	5.552900e-11	4.537400e-10	2.307800e-09	4.520500e-10	1.932300e-09	2.429500e-09	1.302400e-09	1.168400e-09
1.500000e+01	6.000000e-03	1.138760e-09	6.909060e-10	3.811870e-09	4.273400e-09	2.548860e-09	3.884600e-09	9.860300e-09	8.184700e-09	2.559030e-09
2.000000e+01	6.000000e-03	6.331096e-09	3.661320e-09	2.396602e-08	4.720300e-09	9.502100e-10	3.405000e-09	4.179800e-09	4.231900e-09	2.263600e-09
2.500000e+01	6.000000e-03	1.484300e-11	1.313300e-11	5.309100e-09	6.689000e-09	1.089470e-08	9.110000e-09	2.710600e-08	5.464400e-09	8.150200e-09
