#M	Z	nd-142	nd-143	nd-144	nd-145	nd-146	nd-148	nd-150
1.200000e+01	6.000000e-03	4.953200e-10	2.325500e-10	5.227000e-10	1.910100e-10	3.774300e-10	1.474700e-10	1.261000e-10
1.500000e+01	6.000000e-03	1.303330e-09	3.604400e-10	1.014460e-09	2.692300e-10	6.889100e-10	2.005400e-10	1.702300e-10
2.000000e+01	6.000000e-03	1.559510e-09	4.178600e-10	9.559300e-10	3.504200e-10	6.509300e-10	2.659700e-10	2.145100e-10
2.500000e+01	6.000000e-03	1.678100e-09	6.354000e-10	1.539600e-09	5.359100e-10	1.175700e-09	3.887700e-10	3.585100e-10
