#M	Z	br-79	br-81
1.200000e+01	6.000000e-03	8.178300e-08	7.487600e-08
1.500000e+01	6.000000e-03	1.579220e-06	9.961222e-07
2.000000e+01	6.000000e-03	5.026030e-07	9.912060e-07
2.500000e+01	6.000000e-03	7.527740e-07	5.221830e-07
