#M_sun	cu-63	cu-65
8	0	0
1.200000e+01	9.639885e-05	9.184480e-06
1.500000e+01	7.910630e-04	1.877830e-04
2.000000e+01	1.630311e-05	1.362385e-05
2.500000e+01	2.319770e-05	1.777080e-05
