#M	Z	hf-174	hf-176	hf-177	hf-178	hf-179	hf-180
1.200000e+01	6.000000e-03	3.192580e-12	2.306200e-11	7.381000e-11	1.332600e-10	5.677500e-11	1.569500e-10
1.500000e+01	6.000000e-03	2.913090e-11	8.849500e-11	1.063300e-10	2.298900e-10	8.793200e-11	2.694700e-10
2.000000e+01	6.000000e-03	4.753390e-11	1.660210e-10	1.277100e-10	2.508200e-10	9.722000e-11	3.919500e-10
2.500000e+01	6.000000e-03	8.267000e-13	4.575000e-11	1.484700e-10	3.754400e-10	1.146000e-10	4.284800e-10
