#M	Z	dy-156	dy-158	dy-160	dy-161	dy-162	dy-163	dy-164
1.200000e+01	6.000000e-03	9.792100e-13	2.196900e-12	3.011600e-11	1.699900e-10	2.694000e-10	2.234600e-10	2.716300e-10
1.500000e+01	6.000000e-03	4.418670e-12	7.954200e-12	7.719600e-11	2.235700e-10	3.931500e-10	2.871300e-10	3.708900e-10
2.000000e+01	6.000000e-03	9.034500e-12	4.244800e-12	3.295930e-10	2.945500e-10	4.335800e-10	3.635100e-10	4.233200e-10
2.500000e+01	6.000000e-03	6.732000e-13	1.181200e-12	4.917000e-11	3.459100e-10	4.895000e-10	4.119000e-10	5.577000e-10
