#M_sun	ir-191	ir-193
8	0	0
1.200000e+01	6.121000e-10	1.050100e-09
1.500000e+01	7.846200e-10	1.345400e-09
2.000000e+01	9.520000e-10	1.643100e-09
2.500000e+01	9.587000e-10	1.598500e-09
