#M	Z	cl-35	cl-37
1.200000e+01	6.000000e-03	7.224714e-04	4.191130e-05
1.500000e+01	6.000000e-03	4.105172e-04	4.005060e-05
2.000000e+01	6.000000e-03	2.387412e-03	1.549013e-04
2.500000e+01	6.000000e-03	5.376200e-04	2.657820e-05
