#M	Z	he-3	he-4
1.200000e+01	6.000000e-03	2.377300e-04	3.690500e+00
1.500000e+01	6.000000e-03	2.755800e-04	4.686200e+00
2.000000e+01	6.000000e-03	3.022500e-04	6.000400e+00
2.500000e+01	6.000000e-03	1.931000e-04	6.752000e+00
