#M	Z	cr-50	cr-52	cr-53	cr-54
1.200000e+01	6.000000e-03	6.393594e-05	2.687715e-03	1.654515e-04	3.714500e-07
1.500000e+01	6.000000e-03	1.256536e-04	4.246070e-03	2.906925e-04	1.078274e-05
2.000000e+01	6.000000e-03	3.422288e-04	1.019857e-02	5.354349e-04	8.581300e-07
2.500000e+01	6.000000e-03	5.688000e-07	1.216400e-05	1.586000e-06	1.055200e-06
