#M	Z	w-180	w-182	w-183	w-184	w-186
1.200000e+01	6.000000e-03	3.772940e-12	1.157500e-10	5.767700e-11	1.425900e-10	1.177500e-10
1.500000e+01	6.000000e-03	4.190289e-11	2.569600e-10	8.054700e-11	2.132800e-10	1.534500e-10
2.000000e+01	6.000000e-03	1.300276e-10	2.562200e-10	1.036110e-10	2.728800e-10	1.982600e-10
2.500000e+01	6.000000e-03	3.494900e-12	2.793000e-10	1.607900e-10	3.641100e-10	2.228800e-10
