#M_sun	la-138	la-139
8	0	0
1.200000e+01	7.644000e-13	9.433000e-10
1.500000e+01	1.225040e-12	3.645500e-09
2.000000e+01	2.919900e-12	3.717700e-09
2.500000e+01	1.069200e-12	5.846800e-09
