#M	Z	k-39	k-40	k-41
1.200000e+01	6.000000e-03	2.419978e-04	5.899614e-07	5.626070e-06
1.500000e+01	6.000000e-03	1.331811e-04	4.324720e-07	5.846390e-06
2.000000e+01	6.000000e-03	2.948664e-03	5.164957e-06	5.693450e-05
2.500000e+01	6.000000e-03	3.993200e-05	5.870696e-07	3.549780e-06
