#M_sun	ga-69	ga-71
8	0	0
1.200000e+01	9.547730e-07	3.861920e-07
1.500000e+01	2.345745e-05	5.470256e-06
2.000000e+01	5.827078e-06	3.164322e-06
2.500000e+01	5.748120e-06	2.991889e-06
