#M_sun	kr-78	kr-80	kr-82	kr-83	kr-84	kr-86
8	0	0	0	0	0	0
1.200000e+01	3.152977e-08	9.164050e-08	5.645700e-08	4.736400e-08	1.493830e-07	1.938160e-07
1.500000e+01	1.961978e-06	3.173986e-05	1.190926e-05	2.142257e-06	1.700295e-06	1.401853e-06
2.000000e+01	3.659664e-07	1.089778e-06	7.381630e-07	5.726590e-07	1.200310e-06	5.111238e-06
2.500000e+01	2.628000e-10	3.409280e-07	1.290556e-06	9.178440e-07	4.189770e-06	1.812664e-06
