#M	Z	yb-168	yb-170	yb-171	yb-172	yb-173	yb-174	yb-176
1.200000e+01	6.000000e-03	3.800300e-12	2.998700e-11	8.848000e-11	1.579100e-10	1.010200e-10	2.105800e-10	9.228000e-11
1.500000e+01	6.000000e-03	2.080115e-11	1.141970e-10	1.269650e-10	2.472200e-10	1.347500e-10	3.334700e-10	1.211630e-10
2.000000e+01	6.000000e-03	7.000360e-11	3.751710e-10	1.546400e-10	3.551400e-10	1.817700e-10	3.465000e-10	1.569700e-10
2.500000e+01	6.000000e-03	1.061800e-12	4.080300e-11	1.710000e-10	3.107600e-10	2.008100e-10	5.175000e-10	1.752100e-10
