#M	Z	p-31
1.200000e+01	6.000000e-03	6.589492e-04
1.500000e+01	6.000000e-03	1.166601e-03
2.000000e+01	6.000000e-03	3.061387e-03
2.500000e+01	6.000000e-03	1.209144e-03
