#M	Z	si-28	si-29	si-30
1.200000e+01	6.000000e-03	8.687290e-02	7.184620e-04	8.293290e-04
1.500000e+01	6.000000e-03	1.414152e-01	2.860800e-03	2.528500e-03
2.000000e+01	6.000000e-03	3.621698e-01	4.257622e-03	6.001697e-03
2.500000e+01	6.000000e-03	2.332560e-02	2.870770e-03	2.452025e-03
