#M	Z	eu-151	eu-153
1.200000e+01	6.000000e-03	1.001200e-10	1.069500e-10
1.500000e+01	6.000000e-03	1.281700e-10	1.363600e-10
2.000000e+01	6.000000e-03	1.668500e-10	1.700900e-10
2.500000e+01	6.000000e-03	2.467600e-10	2.099300e-10
