#M	Z	re-185	re-187
1.200000e+01	6.000000e-03	5.778900e-11	8.871000e-11
1.500000e+01	6.000000e-03	8.294900e-11	1.152800e-10
2.000000e+01	6.000000e-03	9.996900e-11	1.475300e-10
2.500000e+01	6.000000e-03	1.335500e-10	1.700700e-10
