#M	Z	sm-144	sm-147	sm-148	sm-149	sm-150	sm-152	sm-154
1.200000e+01	6.000000e-03	1.162450e-10	1.428800e-10	6.708000e-11	8.852000e-11	4.579000e-11	1.778800e-10	1.659000e-10
1.500000e+01	6.000000e-03	5.364330e-10	1.972000e-10	1.039290e-10	1.113820e-10	6.303900e-11	2.454100e-10	2.130300e-10
2.000000e+01	6.000000e-03	2.777825e-09	2.821900e-10	1.010700e-10	1.529300e-10	6.854000e-11	2.982400e-10	2.925700e-10
2.500000e+01	6.000000e-03	2.512600e-11	5.115200e-10	1.525600e-10	2.399700e-10	1.323500e-10	6.246000e-10	3.680900e-10
