#M_sun	ba-130	ba-132	ba-134	ba-135	ba-136	ba-137	ba-138
8	0	0	0	0	0	0	0
1.200000e+01	2.435940e-10	3.043400e-11	2.409900e-10	6.217200e-10	8.099000e-10	1.017700e-09	6.805000e-09
1.500000e+01	3.157982e-09	2.539110e-10	8.551200e-10	2.116120e-09	7.378930e-09	4.747100e-09	3.659750e-08
2.000000e+01	1.872844e-08	3.109481e-09	2.044180e-09	1.189800e-09	1.557860e-08	1.717100e-09	2.350500e-08
2.500000e+01	1.218500e-11	1.186100e-11	5.315500e-09	4.510600e-09	1.489230e-08	1.229020e-08	6.712400e-08
