#M	Z	sn-112	sn-114	sn-115	sn-116	sn-117	sn-118	sn-119	sn-120	sn-122	sn-124
1.200000e+01	6.000000e-03	9.905370e-10	1.106463e-09	2.827800e-11	9.963000e-10	5.048500e-10	1.656300e-09	5.688000e-10	2.322700e-09	3.898600e-10	1.065540e-09
1.500000e+01	6.000000e-03	7.380147e-09	1.286527e-08	2.554430e-10	7.906800e-09	3.246410e-09	1.861990e-08	4.226630e-09	4.002350e-08	7.654410e-09	3.834770e-09
2.000000e+01	6.000000e-03	2.622948e-08	8.014273e-08	4.881280e-10	3.240680e-08	2.357100e-09	1.613340e-08	1.278140e-09	4.261150e-08	7.950500e-10	3.152540e-09
2.500000e+01	6.000000e-03	8.243000e-11	5.631990e-09	2.461580e-09	3.849590e-08	1.446680e-08	5.670240e-08	1.635060e-08	7.655400e-08	1.522450e-08	2.021970e-08
