#M	Z	pt-190	pt-192	pt-194	pt-195	pt-196	pt-198
1.200000e+01	6.000000e-03	1.116840e-12	4.487600e-11	1.189000e-09	1.183000e-09	9.607000e-10	2.912100e-10
1.500000e+01	6.000000e-03	5.576400e-12	7.704700e-11	1.519300e-09	1.513900e-09	1.258900e-09	3.786100e-10
2.000000e+01	6.000000e-03	4.114080e-12	5.801800e-11	1.796400e-09	1.850700e-09	1.481000e-09	4.560100e-10
2.500000e+01	6.000000e-03	6.777000e-13	5.181000e-11	1.814200e-09	1.802700e-09	1.556300e-09	4.871000e-10
