#M	Z	ni-58	ni-60	ni-61	ni-62	ni-64
1.200000e+01	6.000000e-03	8.023574e-03	1.095824e-02	1.102221e-04	1.949747e-03	7.421600e-06
1.500000e+01	6.000000e-03	1.202968e-01	2.165872e-02	6.649436e-04	1.792982e-02	2.052191e-05
2.000000e+01	6.000000e-03	1.249508e-02	4.344039e-03	5.611332e-05	1.331719e-03	2.295615e-05
2.500000e+01	6.000000e-03	3.947000e-05	4.075100e-05	1.460750e-05	4.890940e-05	3.738640e-05
