#M	Z	n-14	n-15
1.200000e+01	6.000000e-03	1.171410e-02	1.410800e-05
1.500000e+01	6.000000e-03	1.415650e-02	1.069590e-05
2.000000e+01	6.000000e-03	2.150230e-02	8.818400e-06
2.500000e+01	6.000000e-03	2.976700e-02	9.611150e-05
