#M	Z	zn-64	zn-66	zn-67	zn-68	zn-70
1.200000e+01	6.000000e-03	8.704237e-05	3.460815e-05	1.677265e-06	1.834100e-06	2.064780e-07
1.500000e+01	6.000000e-03	3.671937e-03	6.170962e-03	4.010440e-05	1.096740e-04	7.777151e-07
2.000000e+01	6.000000e-03	1.172254e-05	4.329234e-05	6.765398e-06	1.352008e-05	8.768410e-07
2.500000e+01	6.000000e-03	2.191900e-06	1.746540e-05	6.740950e-06	1.422910e-05	2.800885e-06
