#M	Z	b-11
1.200000e+01	6.000000e-03	1.276700e-09
1.500000e+01	6.000000e-03	1.659700e-09
2.000000e+01	6.000000e-03	1.963900e-09
2.500000e+01	6.000000e-03	1.931600e-09
