#M	Z	os-184	os-186	os-187	os-188	os-189	os-190	os-192
1.200000e+01	6.000000e-03	3.635910e-12	2.957200e-11	2.622300e-11	2.430300e-10	2.738000e-10	4.750100e-10	7.208000e-10
1.500000e+01	6.000000e-03	2.204011e-11	8.097700e-11	3.584600e-11	3.691500e-10	3.492700e-10	6.184900e-10	9.149800e-10
2.000000e+01	6.000000e-03	1.053874e-11	4.808000e-11	3.563600e-11	3.865000e-10	4.295200e-10	7.299300e-10	1.102900e-09
2.500000e+01	6.000000e-03	4.777000e-13	5.732000e-11	4.147000e-11	4.580000e-10	4.503000e-10	8.011000e-10	1.125000e-09
