#M_sun	se-74	se-76	se-77	se-78	se-80	se-82
8	0	0	0	0	0	0
1.200000e+01	1.320072e-07	2.898950e-07	1.530704e-07	2.285830e-07	1.001000e-07	1.546900e-07
1.500000e+01	6.605993e-05	1.130993e-04	2.501399e-06	4.567105e-06	1.207944e-06	5.943683e-07
2.000000e+01	1.579897e-06	3.979883e-06	2.142077e-06	2.111090e-06	1.953772e-06	2.512876e-06
2.500000e+01	8.504000e-10	8.147170e-07	1.183206e-06	4.223188e-06	1.135140e-06	7.456980e-07
