#M_sun	pd-102	pd-104	pd-105	pd-106	pd-108	pd-110
8	0	0	0	0	0	0
1.200000e+01	5.678130e-10	4.486000e-10	5.870300e-10	8.742800e-10	6.984200e-10	3.708700e-10
1.500000e+01	4.762620e-09	3.947490e-09	2.782360e-09	7.774720e-09	1.061462e-08	8.595510e-09
2.000000e+01	2.120634e-08	2.113930e-08	3.338620e-09	2.817820e-08	1.730600e-09	8.415100e-10
2.500000e+01	2.853000e-11	1.687670e-08	7.127600e-09	3.107180e-08	3.270600e-08	1.038280e-08
