#M	Z	ta-180	ta-181
1.200000e+01	6.000000e-03	3.826700e-14	9.891000e-11
1.500000e+01	6.000000e-03	1.870637e-12	1.502600e-10
2.000000e+01	6.000000e-03	3.246600e-14	1.680900e-10
2.500000e+01	6.000000e-03	4.433600e-13	2.326800e-10
