#M	Z	sm-144	sm-147	sm-148	sm-149	sm-150	sm-152	sm-154
1.200000e+01	1.000000e-02	6.187900e-10	9.898200e-10	5.944100e-10	7.387500e-10	4.069000e-10	1.545600e-09	1.439100e-09
1.500000e+01	1.000000e-02	1.117860e-09	1.214900e-09	6.899000e-10	8.648000e-10	4.763100e-10	1.878200e-09	1.776400e-09
2.000000e+01	1.000000e-02	2.005800e-09	1.287100e-09	8.410000e-10	1.037500e-09	6.110000e-10	2.182400e-09	2.078900e-09
2.500000e+01	1.000000e-02	2.085600e-10	2.392200e-09	9.168000e-10	1.308100e-09	5.773000e-10	2.667800e-09	2.494900e-09
