#M_sun	k-39	k-40	k-41
8	0	0	0
1.200000e+01	4.638550e-04	1.125739e-06	1.056490e-05
1.500000e+01	5.751090e-04	3.436959e-05	2.897790e-05
2.000000e+01	3.600680e-04	6.563279e-06	8.440700e-06
2.500000e+01	1.195720e-03	5.018682e-06	1.781970e-05
