#M	Z	ge-70	ge-72	ge-73	ge-74	ge-76
1.200000e+01	1.000000e-02	4.510960e-06	2.924770e-06	3.438500e-07	7.274200e-07	2.102100e-07
1.500000e+01	1.000000e-02	2.814800e-06	5.084460e-06	1.411010e-06	6.726490e-06	4.806400e-07
2.000000e+01	1.000000e-02	6.206520e-06	9.762200e-06	3.475770e-06	9.966700e-06	9.072500e-07
2.500000e+01	1.000000e-02	3.718000e-06	1.623780e-05	3.192450e-06	7.302600e-06	2.440230e-06
