#M_sun	os-184	os-186	os-187	os-188	os-189	os-190	os-192
8	0	0	0	0	0	0	0
1.200000e+01	2.386730e-11	2.590100e-10	2.401100e-10	2.123500e-09	2.407800e-09	4.169000e-09	6.356400e-09
1.500000e+01	1.010184e-10	3.748200e-10	2.551100e-10	2.583200e-09	2.771200e-09	4.854900e-09	7.358000e-09
2.000000e+01	1.347300e-11	3.533500e-10	2.757100e-10	2.955200e-09	3.167300e-09	5.704000e-09	8.827000e-09
2.500000e+01	6.795500e-11	4.758000e-10	2.730000e-10	3.261000e-09	3.343000e-09	5.585000e-09	8.438000e-09
