#M_sun	mg-24	mg-25	mg-26
8	0	0	0
1.200000e+01	9.236600e-03	6.408600e-04	1.208400e-03
1.500000e+01	5.607030e-02	5.413400e-03	7.606860e-03
2.000000e+01	5.416340e-02	8.908600e-03	1.334080e-02
2.500000e+01	2.880400e-02	5.616300e-03	1.052320e-02
