#M	Z	ne-20	ne-21	ne-22
1.200000e+01	1.000000e-02	1.112830e-02	3.696650e-04	3.100900e-03
1.500000e+01	1.000000e-02	1.599140e-01	7.210510e-04	7.187100e-03
2.000000e+01	1.000000e-02	3.037820e-01	4.843350e-04	1.583440e-02
2.500000e+01	1.000000e-02	1.742220e-01	3.030400e-04	7.704300e-03
