#M_sun	tl-203	tl-205
8	0	0
1.200000e+01	1.732100e-09	3.517900e-09
1.500000e+01	3.086500e-09	5.089700e-09
2.000000e+01	3.649900e-09	6.240000e-09
2.500000e+01	3.405600e-09	5.952000e-09
