#M_sun	ta-180	ta-181
8	0	0
1.200000e+01	1.929460e-13	8.502000e-10
1.500000e+01	1.960460e-12	1.037500e-09
2.000000e+01	1.312120e-13	1.316200e-09
2.500000e+01	4.981500e-12	1.493300e-09
