#M	Z	f-19
1.200000e+01	1.000000e-02	5.191100e-06
1.500000e+01	1.000000e-02	7.068300e-06
2.000000e+01	1.000000e-02	1.069640e-05
2.500000e+01	1.000000e-02	2.403000e-06
